"TIME","GEO","UNIT","TRA_INFR","Value"
"2009","Poland","Number","Urban roads","2,171"
"2009","Poland","Number","Rural roads","2,358"
"2009","Portugal","Number","Motorways","89"
"2009","Portugal","Number","Urban roads","386"
"2009","Portugal","Number","Rural roads","365"
"2009","Romania","Number","Motorways","25"
"2009","Romania","Number","Urban roads","1,756"
"2009","Romania","Number","Rural roads","1,015"
"2009","Slovenia","Number","Motorways","30"
"2009","Slovenia","Number","Urban roads","64"
"2009","Slovenia","Number","Rural roads","77"
"2009","Slovakia","Number","Motorways","9"
"2009","Slovakia","Number","Urban roads","176"
"2009","Slovakia","Number","Rural roads","199"
"2009","Finland","Number","Motorways","12"
"2009","Finland","Number","Urban roads","76"
"2009","Finland","Number","Rural roads","191"
"2009","Sweden","Number","Motorways","19"
"2009","Sweden","Number","Urban roads","89"
"2009","Sweden","Number","Rural roads","243"
"2009","United Kingdom","Number","Motorways","131"
"2009","United Kingdom","Number","Urban roads","1,000"
"2009","United Kingdom","Number","Rural roads","1,206"
"2009","Iceland","Number","Motorways","0"
"2009","Iceland","Number","Urban roads","5"
"2009","Iceland","Number","Rural roads","12"
"2009","Liechtenstein","Number","Motorways",":"
"2009","Liechtenstein","Number","Urban roads",":"
"2009","Liechtenstein","Number","Rural roads",":"
"2009","Norway","Number","Motorways","0"
"2009","Norway","Number","Urban roads","54"
"2009","Norway","Number","Rural roads","156"
"2009","Switzerland","Number","Motorways","34"
"2009","Switzerland","Number","Urban roads","137"
"2009","Switzerland","Number","Rural roads","178"
"2010","Belgium","Number","Motorways","106"
"2010","Belgium","Number","Urban roads","246"
"2010","Belgium","Number","Rural roads","488"
"2010","Bulgaria","Number","Motorways",":"
"2010","Bulgaria","Number","Urban roads",":"
"2010","Bulgaria","Number","Rural roads",":"
"2010","Czech Republic","Number","Motorways","28"
"2010","Czech Republic","Number","Urban roads","291"
"2010","Czech Republic","Number","Rural roads","483"
"2010","Denmark","Number","Motorways","26"
"2010","Denmark","Number","Urban roads","78"
"2010","Denmark","Number","Rural roads","151"
"2010","Germany (until 1990 former territory of the FRG)","Number","Motorways","430"
"2010","Germany (until 1990 former territory of the FRG)","Number","Urban roads","1,011"
"2010","Germany (until 1990 former territory of the FRG)","Number","Rural roads","2,207"
"2010","Estonia","Number","Motorways","0"
"2010","Estonia","Number","Urban roads","14"
