GEO,AGE,UNIT,TIME,SEX,Value,Flag and Footnotes
Primorsko-goranska zupanija,8 years,Number,2011,Total,2241,
Primorsko-goranska zupanija,8 years,Number,2011,Males,1106,
Primorsko-goranska zupanija,8 years,Number,2011,Females,1135,
Primorsko-goranska zupanija,9 years,Number,2011,Total,2314,
Primorsko-goranska zupanija,9 years,Number,2011,Males,1209,
Primorsko-goranska zupanija,9 years,Number,2011,Females,1105,
Primorsko-goranska zupanija,10 years,Number,2011,Total,2429,
Primorsko-goranska zupanija,10 years,Number,2011,Males,1273,
Primorsko-goranska zupanija,10 years,Number,2011,Females,1156,
Primorsko-goranska zupanija,11 years,Number,2011,Total,2397,
Primorsko-goranska zupanija,11 years,Number,2011,Males,1218,
Primorsko-goranska zupanija,11 years,Number,2011,Females,1179,
Primorsko-goranska zupanija,12 years,Number,2011,Total,2511,
Primorsko-goranska zupanija,12 years,Number,2011,Males,1336,
Primorsko-goranska zupanija,12 years,Number,2011,Females,1175,
Primorsko-goranska zupanija,13 years,Number,2011,Total,2625,
Primorsko-goranska zupanija,13 years,Number,2011,Males,1378,
Primorsko-goranska zupanija,13 years,Number,2011,Females,1247,
Primorsko-goranska zupanija,14 years,Number,2011,Total,2726,
Primorsko-goranska zupanija,14 years,Number,2011,Males,1381,
Primorsko-goranska zupanija,14 years,Number,2011,Females,1345,
Primorsko-goranska zupanija,15 years,Number,2011,Total,2753,
Primorsko-goranska zupanija,15 years,Number,2011,Males,1401,
Primorsko-goranska zupanija,15 years,Number,2011,Females,1352,
Primorsko-goranska zupanija,16 years,Number,2011,Total,2649,
Primorsko-goranska zupanija,16 years,Number,2011,Males,1380,
Primorsko-goranska zupanija,16 years,Number,2011,Females,1269,
Primorsko-goranska zupanija,17 years,Number,2011,Total,2626,
Primorsko-goranska zupanija,17 years,Number,2011,Males,1334,
Primorsko-goranska zupanija,17 years,Number,2011,Females,1292,
Primorsko-goranska zupanija,18 years,Number,2011,Total,2739,
Primorsko-goranska zupanija,18 years,Number,2011,Males,1381,
Primorsko-goranska zupanija,18 years,Number,2011,Females,1358,
Primorsko-goranska zupanija,19 years,Number,2011,Total,3025,
Primorsko-goranska zupanija,19 years,Number,2011,Males,1590,
Primorsko-goranska zupanija,19 years,Number,2011,Females,1435,
Primorsko-goranska zupanija,20 years,Number,2011,Total,3160,
Primorsko-goranska zupanija,20 years,Number,2011,Males,1568,
Primorsko-goranska zupanija,20 years,Number,2011,Females,1592,
Primorsko-goranska zupanija,21 years,Number,2011,Total,3184,
Primorsko-goranska zupanija,21 years,Number,2011,Males,1638,
Primorsko-goranska zupanija,21 years,Number,2011,Females,1546,
Primorsko-goranska zupanija,22 years,Number,2011,Total,3386,
Primorsko-goranska zupanija,22 years,Number,2011,Males,1741,
Primorsko-goranska zupanija,22 years,Number,2011,Females,1645,
Primorsko-goranska zupanija,23 years,Number,2011,Total,3521,
Primorsko-goranska zupanija,23 years,Number,2011,Males,1796,
Primorsko-goranska zupanija,23 years,Number,2011,Females,1725,
Primorsko-goranska zupanija,24 years,Number,2011,Total,3529,
Primorsko-goranska zupanija,24 years,Number,2011,Males,1794,
Primorsko-goranska zupanija,24 years,Number,2011,Females,1735,
Primorsko-goranska zupanija,25 years,Number,2011,Total,3791,
Primorsko-goranska zupanija,25 years,Number,2011,Males,1897,
Primorsko-goranska zupanija,25 years,Number,2011,Females,1894,
Primorsko-goranska zupanija,26 years,Number,2011,Total,4023,
Primorsko-goranska zupanija,26 years,Number,2011,Males,2015,
Primorsko-goranska zupanija,26 years,Number,2011,Females,2008,
Primorsko-goranska zupanija,27 years,Number,2011,Total,4071,
Primorsko-goranska zupanija,27 years,Number,2011,Males,2060,
Primorsko-goranska zupanija,27 years,Number,2011,Females,2011,
Primorsko-goranska zupanija,28 years,Number,2011,Total,4083,
Primorsko-goranska zupanija,28 years,Number,2011,Males,2090,
Primorsko-goranska zupanija,28 years,Number,2011,Females,1993,
Primorsko-goranska zupanija,29 years,Number,2011,Total,4153,
Primorsko-goranska zupanija,29 years,Number,2011,Males,2108,
Primorsko-goranska zupanija,29 years,Number,2011,Females,2045,
Primorsko-goranska zupanija,30 years,Number,2011,Total,4243,
Primorsko-goranska zupanija,30 years,Number,2011,Males,2177,
Primorsko-goranska zupanija,30 years,Number,2011,Females,2066,
Primorsko-goranska zupanija,31 years,Number,2011,Total,4371,
Primorsko-goranska zupanija,31 years,Number,2011,Males,2274,
Primorsko-goranska zupanija,31 years,Number,2011,Females,2097,
Primorsko-goranska zupanija,32 years,Number,2011,Total,4311,
Primorsko-goranska zupanija,32 years,Number,2011,Males,2261,
Primorsko-goranska zupanija,32 years,Number,2011,Females,2050,
Primorsko-goranska zupanija,33 years,Number,2011,Total,4332,
Primorsko-goranska zupanija,33 years,Number,2011,Males,2249,
Primorsko-goranska zupanija,33 years,Number,2011,Females,2083,
Primorsko-goranska zupanija,34 years,Number,2011,Total,4113,
Primorsko-goranska zupanija,34 years,Number,2011,Males,2163,
Primorsko-goranska zupanija,34 years,Number,2011,Females,1950,
Primorsko-goranska zupanija,35 years,Number,2011,Total,3969,
Primorsko-goranska zupanija,35 years,Number,2011,Males,1977,
Primorsko-goranska zupanija,35 years,Number,2011,Females,1992,
Primorsko-goranska zupanija,36 years,Number,2011,Total,3955,
Primorsko-goranska zupanija,36 years,Number,2011,Males,1966,
Primorsko-goranska zupanija,36 years,Number,2011,Females,1989,
Primorsko-goranska zupanija,37 years,Number,2011,Total,3902,
Primorsko-goranska zupanija,37 years,Number,2011,Males,1953,
Primorsko-goranska zupanija,37 years,Number,2011,Females,1949,
Primorsko-goranska zupanija,38 years,Number,2011,Total,3858,
Primorsko-goranska zupanija,38 years,Number,2011,Males,1992,
Primorsko-goranska zupanija,38 years,Number,2011,Females,1866,
Primorsko-goranska zupanija,39 years,Number,2011,Total,3881,
Primorsko-goranska zupanija,39 years,Number,2011,Males,1961,
Primorsko-goranska zupanija,39 years,Number,2011,Females,1920,
Primorsko-goranska zupanija,40 years,Number,2011,Total,3691,
Primorsko-goranska zupanija,40 years,Number,2011,Males,1801,
Primorsko-goranska zupanija,40 years,Number,2011,Females,1890,
Primorsko-goranska zupanija,41 years,Number,2011,Total,3716,
Primorsko-goranska zupanija,41 years,Number,2011,Males,1850,
Primorsko-goranska zupanija,41 years,Number,2011,Females,1866,
Primorsko-goranska zupanija,42 years,Number,2011,Total,3837,
Primorsko-goranska zupanija,42 years,Number,2011,Males,1903,
Primorsko-goranska zupanija,42 years,Number,2011,Females,1934,
Primorsko-goranska zupanija,43 years,Number,2011,Total,3895,
Primorsko-goranska zupanija,43 years,Number,2011,Males,1923,
Primorsko-goranska zupanija,43 years,Number,2011,Females,1972,
Primorsko-goranska zupanija,44 years,Number,2011,Total,4129,
Primorsko-goranska zupanija,44 years,Number,2011,Males,2006,
Primorsko-goranska zupanija,44 years,Number,2011,Females,2123,
Primorsko-goranska zupanija,45 years,Number,2011,Total,4011,
Primorsko-goranska zupanija,45 years,Number,2011,Males,1919,
Primorsko-goranska zupanija,45 years,Number,2011,Females,2092,
Primorsko-goranska zupanija,46 years,Number,2011,Total,4075,
Primorsko-goranska zupanija,46 years,Number,2011,Males,1919,
Primorsko-goranska zupanija,46 years,Number,2011,Females,2156,
Primorsko-goranska zupanija,47 years,Number,2011,Total,4175,
Primorsko-goranska zupanija,47 years,Number,2011,Males,2041,
Primorsko-goranska zupanija,47 years,Number,2011,Females,2134,
Primorsko-goranska zupanija,48 years,Number,2011,Total,4302,
Primorsko-goranska zupanija,48 years,Number,2011,Males,2068,
Primorsko-goranska zupanija,48 years,Number,2011,Females,2234,
Primorsko-goranska zupanija,49 years,Number,2011,Total,4558,
Primorsko-goranska zupanija,49 years,Number,2011,Males,2218,
Primorsko-goranska zupanija,49 years,Number,2011,Females,2340,
Primorsko-goranska zupanija,50 years,Number,2011,Total,4502,
Primorsko-goranska zupanija,50 years,Number,2011,Males,2156,
Primorsko-goranska zupanija,50 years,Number,2011,Females,2346,
Primorsko-goranska zupanija,51 years,Number,2011,Total,4735,
Primorsko-goranska zupanija,51 years,Number,2011,Males,2250,
Primorsko-goranska zupanija,51 years,Number,2011,Females,2485,
Primorsko-goranska zupanija,52 years,Number,2011,Total,4838,
Primorsko-goranska zupanija,52 years,Number,2011,Males,2360,
Primorsko-goranska zupanija,52 years,Number,2011,Females,2478,
Primorsko-goranska zupanija,53 years,Number,2011,Total,4739,
Primorsko-goranska zupanija,53 years,Number,2011,Males,2279,
Primorsko-goranska zupanija,53 years,Number,2011,Females,2460,
Primorsko-goranska zupanija,54 years,Number,2011,Total,4793,
Primorsko-goranska zupanija,54 years,Number,2011,Males,2284,
Primorsko-goranska zupanija,54 years,Number,2011,Females,2509,
Primorsko-goranska zupanija,55 years,Number,2011,Total,4969,
Primorsko-goranska zupanija,55 years,Number,2011,Males,2374,
Primorsko-goranska zupanija,55 years,Number,2011,Females,2595,
Primorsko-goranska zupanija,56 years,Number,2011,Total,5015,
Primorsko-goranska zupanija,56 years,Number,2011,Males,2532,
Primorsko-goranska zupanija,56 years,Number,2011,Females,2483,
Primorsko-goranska zupanija,57 years,Number,2011,Total,5092,
Primorsko-goranska zupanija,57 years,Number,2011,Males,2546,
Primorsko-goranska zupanija,57 years,Number,2011,Females,2546,
Primorsko-goranska zupanija,58 years,Number,2011,Total,5092,
Primorsko-goranska zupanija,58 years,Number,2011,Males,2480,
Primorsko-goranska zupanija,58 years,Number,2011,Females,2612,
Primorsko-goranska zupanija,59 years,Number,2011,Total,4605,
Primorsko-goranska zupanija,59 years,Number,2011,Males,2246,
Primorsko-goranska zupanija,59 years,Number,2011,Females,2359,
Primorsko-goranska zupanija,60 years,Number,2011,Total,5034,
Primorsko-goranska zupanija,60 years,Number,2011,Males,2394,
Primorsko-goranska zupanija,60 years,Number,2011,Females,2640,
Primorsko-goranska zupanija,61 years,Number,2011,Total,4793,
Primorsko-goranska zupanija,61 years,Number,2011,Males,2319,
Primorsko-goranska zupanija,61 years,Number,2011,Females,2474,
Primorsko-goranska zupanija,62 years,Number,2011,Total,4308,
Primorsko-goranska zupanija,62 years,Number,2011,Males,2072,
Primorsko-goranska zupanija,62 years,Number,2011,Females,2236,
Primorsko-goranska zupanija,63 years,Number,2011,Total,4266,
Primorsko-goranska zupanija,63 years,Number,2011,Males,2017,
Primorsko-goranska zupanija,63 years,Number,2011,Females,2249,
Primorsko-goranska zupanija,64 years,Number,2011,Total,4426,
Primorsko-goranska zupanija,64 years,Number,2011,Males,2108,
Primorsko-goranska zupanija,64 years,Number,2011,Females,2318,
Primorsko-goranska zupanija,65 years,Number,2011,Total,2371,
Primorsko-goranska zupanija,65 years,Number,2011,Males,1129,
Primorsko-goranska zupanija,65 years,Number,2011,Females,1242,
Primorsko-goranska zupanija,66 years,Number,2011,Total,2589,
Primorsko-goranska zupanija,66 years,Number,2011,Males,1217,
Primorsko-goranska zupanija,66 years,Number,2011,Females,1372,
Primorsko-goranska zupanija,67 years,Number,2011,Total,2954,
Primorsko-goranska zupanija,67 years,Number,2011,Males,1352,
Primorsko-goranska zupanija,67 years,Number,2011,Females,1602,
Primorsko-goranska zupanija,68 years,Number,2011,Total,3130,
Primorsko-goranska zupanija,68 years,Number,2011,Males,1458,
Primorsko-goranska zupanija,68 years,Number,2011,Females,1672,
Primorsko-goranska zupanija,69 years,Number,2011,Total,3239,
Primorsko-goranska zupanija,69 years,Number,2011,Males,1455,
Primorsko-goranska zupanija,69 years,Number,2011,Females,1784,
Primorsko-goranska zupanija,70 years,Number,2011,Total,3294,
Primorsko-goranska zupanija,70 years,Number,2011,Males,1468,
Primorsko-goranska zupanija,70 years,Number,2011,Females,1826,
Primorsko-goranska zupanija,71 years,Number,2011,Total,3318,
Primorsko-goranska zupanija,71 years,Number,2011,Males,1514,
Primorsko-goranska zupanija,71 years,Number,2011,Females,1804,
Primorsko-goranska zupanija,72 years,Number,2011,Total,3182,
Primorsko-goranska zupanija,72 years,Number,2011,Males,1373,
Primorsko-goranska zupanija,72 years,Number,2011,Females,1809,
Primorsko-goranska zupanija,73 years,Number,2011,Total,3119,
Primorsko-goranska zupanija,73 years,Number,2011,Males,1367,
Primorsko-goranska zupanija,73 years,Number,2011,Females,1752,
Primorsko-goranska zupanija,74 years,Number,2011,Total,2966,
Primorsko-goranska zupanija,74 years,Number,2011,Males,1252,
Primorsko-goranska zupanija,74 years,Number,2011,Females,1714,
Primorsko-goranska zupanija,75 years,Number,2011,Total,2953,
Primorsko-goranska zupanija,75 years,Number,2011,Males,1292,
